File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF975YZR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR263YXJ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/79894/'], '@type': ['Target', 'Item'], 'name': 'ZNF672-human', 'label': 'ZNF672', '@id': '/targets/ZNF672-human/', 'title': 'ZNF672 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '82da211c-f03e-4358-a9c2-0e62a4374302', 'status': 'released'}				ZNF672-human	DNA				formaldehyde		2022-09-30	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF927ZUT/, /files/ENCFF507IQZ/, /files/ENCFF356LFX/, /files/ENCFF739OZT/	64478	ENCODE Processing Pipeline	17613a81d10506eb9d13e6420183fb1f		https://www.encodeproject.org/files/ENCFF975YZR/@@download/ENCFF975YZR.bed.gz				released	s3://encode-public/2022/09/03/e8d572a6-bba7-4a53-a7e7-e39db545301a/ENCFF975YZR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/09/03/e8d572a6-bba7-4a53-a7e7-e39db545301a/ENCFF975YZR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 GRCh38	released	missing genetic modification reagents		
ENCFF610WQK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR238XDV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/729991/', '/genes/100271849/'], '@type': ['Target', 'Item'], 'name': 'BORCS8-MEF2B-human', 'label': 'BORCS8-MEF2B', '@id': '/targets/BORCS8-MEF2B-human/', 'title': 'BORCS8-MEF2B (Homo sapiens)', 'investigated_as': ['other context'], 'uuid': 'c33bab5b-3d33-4d82-a698-0c9bb0aa5797', 'status': 'released'}				BORCS8-MEF2B-human	DNA				formaldehyde		2022-08-31	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF306SNV/, /files/ENCFF828KFL/, /files/ENCFF660TSA/, /files/ENCFF356LFX/	404250	ENCODE Processing Pipeline	fee47d5d79a0d8e878822702762af140		https://www.encodeproject.org/files/ENCFF610WQK/@@download/ENCFF610WQK.bed.gz				released	s3://encode-public/2022/08/27/9f85220b-6618-4ead-9834-7428bb63262b/ENCFF610WQK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/08/27/9f85220b-6618-4ead-9834-7428bb63262b/ENCFF610WQK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents		
ENCFF745YRF	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR898XQZ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4841/'], '@type': ['Target', 'Item'], 'name': 'NONO-human', 'label': 'NONO', '@id': '/targets/NONO-human/', 'title': 'NONO (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '0c782976-c8df-4c9c-a23e-a0aedfdc313b', 'status': 'released'}				NONO-human	DNA				formaldehyde		2022-08-15	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF739OZT/, /files/ENCFF008JVL/, /files/ENCFF182KAJ/, /files/ENCFF356LFX/	521876	ENCODE Processing Pipeline	e10a028fa0f0118ccad33a98238ff8f3		https://www.encodeproject.org/files/ENCFF745YRF/@@download/ENCFF745YRF.bed.gz				released	s3://encode-public/2022/07/23/622994b0-e369-4d66-a84b-c8e3da5288ea/ENCFF745YRF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/07/23/622994b0-e369-4d66-a84b-c8e3da5288ea/ENCFF745YRF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents, moderate library complexity		
ENCFF044NSI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EDS	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										MAX-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF881DZX/, /files/ENCFF772ZHK/, /files/ENCFF356LFX/, /files/ENCFF008WTO/	267621	ENCODE Processing Pipeline	2b285525c23ace33a82b082f2ca7d2af		https://www.encodeproject.org/files/ENCFF044NSI/@@download/ENCFF044NSI.bed.gz				released	s3://encode-public/2020/12/10/4dbfa90e-b0e8-4d40-ba4b-cc04331dea80/ENCFF044NSI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/4dbfa90e-b0e8-4d40-ba4b-cc04331dea80/ENCFF044NSI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance, low read length, improper control_type of control experiment		
ENCFF159PYD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJM	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										POLR2A-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF895XCY/, /files/ENCFF356LFX/, /files/ENCFF472IRC/, /files/ENCFF102EWF/, /files/ENCFF293TQJ/	526749	ENCODE Processing Pipeline	21bed6d24a30994f7fe62006eb60e919		https://www.encodeproject.org/files/ENCFF159PYD/@@download/ENCFF159PYD.bed.gz				released	s3://encode-public/2020/12/26/4d8a8720-abbb-4a44-aa01-1519c930620b/ENCFF159PYD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/4d8a8720-abbb-4a44-aa01-1519c930620b/ENCFF159PYD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking, low read length, moderate library complexity	insufficient read depth	
ENCFF632PBR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR929KSH	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:SKIL'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6498/'], '@type': ['Target', 'Item'], 'label': 'SKIL', 'title': 'SKIL (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'ebe49ebf-a76e-4502-8484-2a748e6b0511', 'schema_version': '14', 'name': 'SKIL-human', '@id': '/targets/SKIL-human/', 'status': 'released'}				SKIL-human	DNA				formaldehyde		2022-08-15	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF739OZT/, /files/ENCFF843SJX/, /files/ENCFF102OZW/	290626	ENCODE Processing Pipeline	a822e43f5ff9abe6afdadb23684a9f3d		https://www.encodeproject.org/files/ENCFF632PBR/@@download/ENCFF632PBR.bed.gz				released	s3://encode-public/2022/07/23/b00cc4c7-01e5-4564-80c5-64431155ea1b/ENCFF632PBR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/07/23/b00cc4c7-01e5-4564-80c5-64431155ea1b/ENCFF632PBR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, borderline replicate concordance, missing genetic modification reagents, moderate library complexity		
ENCFF921XWH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR203UQM	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/64145/'], '@type': ['Target', 'Item'], 'name': 'ZFYVE20-human', 'label': 'ZFYVE20', '@id': '/targets/ZFYVE20-human/', 'title': 'ZFYVE20 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '9e269f04-aad5-4f1b-9cf4-00e12c168c10', 'status': 'released'}				ZFYVE20-human	DNA				formaldehyde		2023-01-20	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF157XJU/, /files/ENCFF847ERY/, /files/ENCFF356LFX/, /files/ENCFF091MES/	82760	ENCODE Processing Pipeline	4c4cf5a6f7694ea9abe28bc4140f3a5a		https://www.encodeproject.org/files/ENCFF921XWH/@@download/ENCFF921XWH.bed.gz				released	s3://encode-public/2022/07/23/0a1cb811-f34b-4567-8a93-f6d0a02149ba/ENCFF921XWH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/07/23/0a1cb811-f34b-4567-8a93-f6d0a02149ba/ENCFF921XWH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents, borderline replicate concordance, low read depth, moderate library complexity		
ENCFF492FGH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR482SWD	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'target_organism': '/organisms/human/', '@type': ['Target', 'Item'], 'name': 'MTERF2-human', 'label': 'MTERF2', '@id': '/targets/MTERF2-human/', 'title': 'MTERF2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '854cd0ef-cfc2-4184-9f46-9ce4b1ad7237', 'status': 'released'}				MTERF2-human	DNA				formaldehyde		2022-08-15	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF935LYW/, /files/ENCFF157XJU/, /files/ENCFF460YCK/, /files/ENCFF356LFX/	175206	ENCODE Processing Pipeline	4cc8d85a858c31f6001367c0b27348e1		https://www.encodeproject.org/files/ENCFF492FGH/@@download/ENCFF492FGH.bed.gz				released	s3://encode-public/2022/07/23/584a3afe-a9e4-4ab3-ad34-8288a5b50860/ENCFF492FGH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/07/23/584a3afe-a9e4-4ab3-ad34-8288a5b50860/ENCFF492FGH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	low read depth, missing genetic modification reagents		
ENCFF310IWF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR397EOT	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/163050/'], '@type': ['Target', 'Item'], 'name': 'ZNF564-human', 'label': 'ZNF564', '@id': '/targets/ZNF564-human/', 'title': 'ZNF564 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'eb93b65c-8f01-4475-90a6-0219c0901505', 'status': 'released'}				ZNF564-human	DNA				formaldehyde		2023-01-06	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF543CXR/, /files/ENCFF931DIL/, /files/ENCFF356LFX/, /files/ENCFF522JVF/, /files/ENCFF685XXF/	311715	ENCODE Processing Pipeline	35623e7d699a0f143e86b4d6574c4036		https://www.encodeproject.org/files/ENCFF310IWF/@@download/ENCFF310IWF.bed.gz				released	s3://encode-public/2022/12/19/06004f4b-3d7f-4a49-98e1-7a1dd4f02050/ENCFF310IWF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/19/06004f4b-3d7f-4a49-98e1-7a1dd4f02050/ENCFF310IWF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents		
ENCFF501HSY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR693TYT	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1599'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7626/'], '@type': ['Target', 'Item'], 'name': 'ZNF75D-human', 'label': 'ZNF75D', '@id': '/targets/ZNF75D-human/', 'title': 'ZNF75D (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '62558aca-8e80-4618-a240-b746cefcf0a3', 'status': 'released'}				ZNF75D-human	DNA				formaldehyde		2023-01-06	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF867WHG/, /files/ENCFF654UUO/, /files/ENCFF041MMU/	48464	ENCODE Processing Pipeline	3c8c7af6cf3b19cd4e75200dcc16d3ab		https://www.encodeproject.org/files/ENCFF501HSY/@@download/ENCFF501HSY.bed.gz				released	s3://encode-public/2022/12/19/7f345ad4-6dd1-4f98-886a-76b66c62ecd5/ENCFF501HSY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/19/7f345ad4-6dd1-4f98-886a-76b66c62ecd5/ENCFF501HSY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 GRCh38	released	mild to moderate bottlenecking, borderline replicate concordance, missing genetic modification reagents		
ENCFF431BYW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR267TGY	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1457'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/9915/'], '@type': ['Target', 'Item'], 'name': 'ARNT2-human', 'label': 'ARNT2', '@id': '/targets/ARNT2-human/', 'title': 'ARNT2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '0a1ffba8-b45a-4d3b-bef0-1fb5480e4448', 'status': 'released'}				ARNT2-human	DNA				formaldehyde		2022-08-31	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF157XJU/, /files/ENCFF243GUH/, /files/ENCFF162WBB/, /files/ENCFF356LFX/	396754	ENCODE Processing Pipeline	bd6a284abd5d828a51056761ea4b547f		https://www.encodeproject.org/files/ENCFF431BYW/@@download/ENCFF431BYW.bed.gz				released	s3://encode-public/2022/08/27/e367906e-498b-43c3-b714-87b0fc921fae/ENCFF431BYW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/08/27/e367906e-498b-43c3-b714-87b0fc921fae/ENCFF431BYW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, low read depth, missing genetic modification reagents, moderate library complexity		
ENCFF672RKS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR136EQX	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:PBX3'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5090/'], '@type': ['Target', 'Item'], 'label': 'PBX3', 'title': 'PBX3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '1045e6eb-cc70-4e7e-8af5-c6d32e6a4c9a', 'schema_version': '14', 'name': 'PBX3-human', '@id': '/targets/PBX3-human/', 'status': 'released'}				PBX3-human	DNA				formaldehyde		2023-01-06	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF214ARP/, /files/ENCFF657NDS/, /files/ENCFF356LFX/, /files/ENCFF310NYJ/	82189	ENCODE Processing Pipeline	abe22927c9ec393c6ff57c6004038d3d		https://www.encodeproject.org/files/ENCFF672RKS/@@download/ENCFF672RKS.bed.gz				released	s3://encode-public/2022/12/19/25146cf5-33bd-42d2-baf1-78f5ad365018/ENCFF672RKS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/19/25146cf5-33bd-42d2-baf1-78f5ad365018/ENCFF672RKS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 GRCh38	released	borderline replicate concordance, missing genetic modification reagents, inconsistent platforms		
ENCFF108LBD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR410LFU	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4092/'], '@type': ['Target', 'Item'], 'name': 'SMAD7-human', 'label': 'SMAD7', '@id': '/targets/SMAD7-human/', 'title': 'SMAD7 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'cb0d7fc2-aa03-4075-a4c7-a159ee14833e', 'status': 'released'}				SMAD7-human	DNA				formaldehyde		2023-01-06	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF558SHJ/, /files/ENCFF988FJF/, /files/ENCFF262VZR/	563450	ENCODE Processing Pipeline	86613ad0b3f4aa9364805407dcb74cfe		https://www.encodeproject.org/files/ENCFF108LBD/@@download/ENCFF108LBD.bed.gz				released	s3://encode-public/2022/12/19/85ce4fc7-6e2f-4f1b-8998-3e6f1fae57ec/ENCFF108LBD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/19/85ce4fc7-6e2f-4f1b-8998-3e6f1fae57ec/ENCFF108LBD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents, moderate library complexity		
ENCFF162YBD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR443YTB	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5629/'], '@type': ['Target', 'Item'], 'name': 'PROX1-human', 'label': 'PROX1', '@id': '/targets/PROX1-human/', 'title': 'PROX1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '97df0689-55e8-41b0-b4cd-235aa2cb6600', 'status': 'released'}				PROX1-human	DNA				formaldehyde		2023-01-06	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF120ZFX/, /files/ENCFF929QSK/, /files/ENCFF931DIL/, /files/ENCFF356LFX/	566429	ENCODE Processing Pipeline	e3bcffcbcd914107770d14c3cbce27b6		https://www.encodeproject.org/files/ENCFF162YBD/@@download/ENCFF162YBD.bed.gz				released	s3://encode-public/2022/12/19/3b27f0ce-dbfc-4d72-9636-a34e1da46f98/ENCFF162YBD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/19/3b27f0ce-dbfc-4d72-9636-a34e1da46f98/ENCFF162YBD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents		
ENCFF194QYM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR913KJZ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:KLF16'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/83855/'], '@type': ['Target', 'Item'], 'label': 'KLF16', 'title': 'KLF16 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '44d985ce-a4eb-479d-a0f4-b84cc74a9981', 'schema_version': '14', 'name': 'KLF16-human', '@id': '/targets/KLF16-human/', 'status': 'released'}				KLF16-human	DNA				formaldehyde		2023-01-10	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF923HNX/, /files/ENCFF535HWH/, /files/ENCFF141JSQ/, /files/ENCFF356LFX/	42612	ENCODE Processing Pipeline	ccd277c5d11c6acc8acca0bb458dceda		https://www.encodeproject.org/files/ENCFF194QYM/@@download/ENCFF194QYM.bed.gz				released	s3://encode-public/2022/07/23/dbd4245f-25b7-42ff-9be2-20ecf7477722/ENCFF194QYM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/07/23/dbd4245f-25b7-42ff-9be2-20ecf7477722/ENCFF194QYM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	missing genetic modification reagents		
ENCFF460DRP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR037LQB	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/221785/'], '@type': ['Target', 'Item'], 'name': 'ZSCAN25-human', 'label': 'ZSCAN25', '@id': '/targets/ZSCAN25-human/', 'title': 'ZSCAN25 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '7b34f367-7aed-4716-bb35-1b18285212bc', 'status': 'released'}				ZSCAN25-human	DNA				formaldehyde		2022-08-15	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF231OHC/, /files/ENCFF725GIP/, /files/ENCFF356LFX/, /files/ENCFF016WME/	371621	ENCODE Processing Pipeline	7898961c1c888e3d4ec372e5e5586dd5		https://www.encodeproject.org/files/ENCFF460DRP/@@download/ENCFF460DRP.bed.gz				released	s3://encode-public/2022/07/23/020e6eb2-2ee1-49cf-9881-6b7eaed167d0/ENCFF460DRP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/07/23/020e6eb2-2ee1-49cf-9881-6b7eaed167d0/ENCFF460DRP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents		
